component,calls,calls_per_generated_token,total_us,mean_us,percent_decode_time,tokens,bytes,backend,context_tokens,decode_tokens
pack_v4,32,0.25,9372.67193198204,292.89599787443876,0.06776041746050038,1024,0,fused,8192,128
pack_window,32,0.25,265200.64067840576,8287.52002120018,1.917287434529973,4096,0,fused,8192,128
pattern_assignment,32,0.25,16343.040108680725,510.72000339627266,0.11815320416359895,4096,0,fused,8192,128
qk_fp16_regions,12256,95.75,1273473.6942313612,103.90614345882516,9.2066712429819,849920,0,fused,8192,128
qk_quantized_history,4096,32.0,694963.2039070129,169.66875095386058,5.024287327900498,0,0,fused,8192,128
rope_position,4096,32.0,932289.5367741585,227.60975018900353,6.740055414754545,0,0,fused,8192,128
selector_gain,32,0.25,39323.64821434021,1228.8640066981316,0.28429319178251367,4096,0,fused,8192,128
selector_score,32,0.25,2417.6640659570694,75.55200206115842,0.01747867924721636,4096,0,fused,8192,128
selector_topk,32,0.25,116462.59188652039,3639.455996453762,0.8419748287395437,4096,0,fused,8192,128
selector_total,32,0.25,164058.11166763306,5126.815989613533,1.1860701212049534,4096,0,fused,8192,128
value_fp16_tail,12256,95.75,1298308.099642396,105.93244938335476,9.386213393848495,849920,0,fused,8192,128
attention_score_concat,4096,32.0,244892.67517253757,59.788250774545304,1.404780141091312,67373056,0,reference,16384,128
attention_softmax,4096,32.0,190517.2499269247,46.5130004704406,1.0928658811216532,67373056,0,reference,16384,128
cache_append,4096,32.0,2732984.9901795387,667.2326636180514,15.677247338655336,0,0,reference,16384,128
cache_cat_events,16544,129.25,0.0,0.0,0.0,0,3650449408,reference,16384,128
cache_cat_largest_bytes,0,0.0,0.0,0.0,0.0,0,4681728,reference,16384,128
cache_mutation,16544,129.25,535241.6674084961,32.35261529306674,3.0703117785385463,0,3650449408,reference,16384,128
centroid_update,32,0.25,5427.200004458427,169.60000013932586,0.031132098102249987,4096,0,reference,16384,128
decode_decoder_model_forward,128,1.0,21179340.698242188,165463.5992050171,121.4912499662794,0,0,reference,16384,128
decode_lm_head,128,1.0,152647.68266677856,1192.5600208342075,0.8756343285597219,0,0,reference,16384,128
importance_update,4096,32.0,573622.2676485777,140.04449893764104,3.2904747743588363,67373056,0,reference,16384,128
mixed_v_reference_attention,4096,32.0,9069030.345201492,2214.118736621458,52.02276351841745,66523136,0,reference,16384,128
output_projection,4096,32.0,208672.76398837566,50.94549902059953,1.1970115260939307,0,0,reference,16384,128
pack_k,32,0.25,10562.560021877289,330.0800006836653,0.0605901117596276,4096,0,reference,16384,128
pack_total,32,0.25,35606.52828216553,1112.7040088176727,0.20425006092465392,4096,0,reference,16384,128
pack_v2,32,0.25,9888.7679874897,309.02399960905313,0.056725032216246696,3072,0,reference,16384,128
pack_v4,32,0.25,9458.687871694565,295.58399599045515,0.05425795962895271,1024,0,reference,16384,128
pack_window,32,0.25,264112.1292114258,8253.504037857056,1.5150288748985823,4096,0,reference,16384,128
pattern_assignment,32,0.25,16544.768035411835,517.0240011066198,0.09490590749083871,4096,0,reference,16384,128
qk_fp16_regions,12256,95.75,1075828.7336304784,87.77975959778708,6.1712864182431435,849920,0,reference,16384,128
qk_quantized_history,4096,32.0,914298.8719195127,223.2174980272248,5.244701163029121,0,0,reference,16384,128
rope_position,4096,32.0,820254.7197043896,200.25749992782949,4.7052348138437265,0,0,reference,16384,128
selector_gain,32,0.25,40220.67189216614,1256.8959966301918,0.23071821603343978,4096,0,reference,16384,128
selector_score,32,0.25,2502.6560351252556,78.20800109766424,0.014356009201374966,4096,0,reference,16384,128
selector_topk,32,0.25,114361.34338378906,3573.791980743408,0.6560120427484589,4096,0,reference,16384,128
selector_total,32,0.25,162946.04778289795,5092.063993215561,0.9347089366125738,4096,0,reference,16384,128
value_fp16_tail,12256,95.75,532163.5827049613,43.42065785778078,3.0526549324892462,849920,0,reference,16384,128
attention_score_concat,4096,32.0,241708.0361843109,59.01075102156028,1.6703386503703574,67373056,0,fused,16384,128
attention_softmax,4096,32.0,186853.3774279058,45.618500348609814,1.2912620664050967,67373056,0,fused,16384,128
cache_append,4096,32.0,2608480.9613227844,636.8361721979454,18.026072435300705,0,0,fused,16384,128
cache_cat_events,16544,129.25,0.0,0.0,0.0,0,3650449408,fused,16384,128
cache_cat_largest_bytes,0,0.0,0.0,0.0,0.0,0,4681728,fused,16384,128
cache_mutation,16544,129.25,524158.4367118776,31.682690807052563,3.6222299828291082,0,3650449408,fused,16384,128
centroid_update,32,0.25,5407.744020223618,168.99200063198805,0.03737055660574267,4096,0,fused,16384,128
decode_decoder_model_forward,128,1.0,18318898.08654785,143116.3913011551,126.59390225165632,0,0,fused,16384,128
decode_lm_head,128,1.0,152765.4435634613,1193.4800278395414,1.0556952464354343,0,0,fused,16384,128
importance_update,4096,32.0,567806.9694489241,138.62474840061623,3.923865925156859,67373056,0,fused,16384,128
mixed_v_fused_attention,4096,32.0,4011858.9403033257,979.4577490974916,27.724204596625974,0,0,fused,16384,128
output_projection,4096,32.0,403099.6560230851,98.41300195876101,2.785645632787031,0,0,fused,16384,128
pack_k,32,0.25,10557.440102100372,329.92000319063663,0.0729578566351898,4096,0,fused,16384,128
pack_total,32,0.25,35897.34435081482,1121.792010962963,0.24807086541838366,4096,0,fused,16384,128
pack_v2,32,0.25,9898.560017347336,309.33000054210424,0.06840462419453118,3072,0,fused,16384,128
pack_v4,32,0.25,9807.871997356415,306.49599991738796,0.0677779189045139,1024,0,fused,16384,128
pack_window,32,0.25,265033.727645874,8282.303988933563,1.8315323144699365,4096,0,fused,16384,128
pattern_assignment,32,0.25,16507.903933525085,515.8719979226589,0.11407891277450874,4096,0,fused,16384,128
qk_fp16_regions,12256,95.75,1011699.2629757151,82.54726362399764,6.9914116558828345,849920,0,fused,16384,128
qk_quantized_history,4096,32.0,960149.5078802109,234.4115009473171,6.63517381740448,0,0,fused,16384,128
rope_position,4096,32.0,962573.3143463731,235.003250572845,6.651923685076902,0,0,fused,16384,128
selector_gain,32,0.25,39247.87199497223,1226.4959998428822,0.2712248983232016,4096,0,fused,16384,128
selector_score,32,0.25,2454.5280784368515,76.70400245115161,0.01696217131442847,4096,0,fused,16384,128
selector_topk,32,0.25,114890.75183868408,3590.3359949588776,0.7939597970997033,4096,0,fused,16384,128
selector_total,32,0.25,162428.92789840698,5075.903996825218,1.1224753652793107,4096,0,fused,16384,128
value_fp16_tail,12256,95.75,1301021.6997638345,106.15385931493428,8.990792628959058,849920,0,fused,16384,128
attention_score_concat,4096,32.0,245590.01957252622,59.95850087219878,0.9933682966680849,134481920,0,reference,32768,128
attention_softmax,4096,32.0,196237.31434717774,47.90950057304144,0.7937453119433795,134481920,0,reference,32768,128
cache_append,4096,32.0,2570150.303930044,627.4781015454209,10.395804495801102,0,0,reference,32768,128
cache_cat_events,16544,129.25,0.0,0.0,0.0,0,4057821184,reference,32768,128
cache_cat_largest_bytes,0,0.0,0.0,0.0,0.0,0,9400320,reference,32768,128
cache_mutation,16544,129.25,544052.4179562926,32.88518000219371,2.2005960366960045,0,4057821184,reference,32768,128
centroid_update,32,0.25,5435.3920221328735,169.8560006916523,0.021985201695685873,4096,0,reference,32768,128
decode_decoder_model_forward,128,1.0,27567269.775390625,215369.29512023926,111.5047422050567,0,0,reference,32768,128
decode_lm_head,128,1.0,152596.4822769165,1192.1600177884102,0.617225846314154,0,0,reference,32768,128
importance_update,4096,32.0,573511.6751641035,140.0174988193612,2.3197535342383184,134481920,0,reference,32768,128
mixed_v_reference_attention,4096,32.0,16459592.710733414,4018.4552516439,66.57614834418449,133632000,0,reference,32768,128
output_projection,4096,32.0,208122.87578731775,50.81124897151312,0.8418203108512607,0,0,reference,32768,128
pack_k,32,0.25,10767.359972000122,336.4799991250038,0.04355207126745316,4096,0,reference,32768,128
pack_total,32,0.25,35865.60022830963,1120.800007134676,0.14507002470942446,4096,0,reference,32768,128
pack_v2,32,0.25,9888.768047094345,309.0240014716983,0.039998321952114044,3072,0,reference,32768,128
pack_v4,32,0.25,9565.183997154236,298.91199991106987,0.03868948156406627,1024,0,reference,32768,128
pack_window,32,0.25,267799.55101013184,8368.73596906662,1.083201932629237,4096,0,reference,32768,128
pattern_assignment,32,0.25,16442.36797094345,513.8239990919828,0.06650647731090924,4096,0,reference,32768,128
qk_fp16_regions,12256,95.75,627570.1766368002,51.205138433159284,2.538410634481366,849920,0,reference,32768,128
qk_quantized_history,4096,32.0,1475953.6609649658,360.34024925902486,5.969972137735071,0,0,reference,32768,128
rope_position,4096,32.0,205103.1028404832,50.07399971691484,0.829605862097428,0,0,reference,32768,128
selector_gain,32,0.25,43340.800166130066,1354.4000051915646,0.17530588951537665,4096,0,reference,32768,128
selector_score,32,0.25,2457.600049674511,76.80000155232847,0.009940558575979178,4096,0,reference,32768,128
selector_topk,32,0.25,114365.44013023376,3573.920004069805,0.46258802640925883,4096,0,reference,32768,128
selector_total,32,0.25,166051.8398284912,5189.11999464035,0.6716503935141294,4096,0,reference,32768,128
value_fp16_tail,12256,95.75,532866.0462060943,43.477973743969834,2.1553491367172013,849920,0,reference,32768,128
attention_score_concat,4096,32.0,245037.0598230511,59.823500933362084,1.6220728050738105,134481920,0,fused,32768,128
attention_softmax,4096,32.0,195968.00224483013,47.84375054805423,1.2972501683440432,134481920,0,fused,32768,128
cache_append,4096,32.0,2548763.459831476,622.256704060419,16.872059670255453,0,0,fused,32768,128
cache_cat_events,16544,129.25,0.0,0.0,0.0,0,4057821184,fused,32768,128
cache_cat_largest_bytes,0,0.0,0.0,0.0,0.0,0,9400320,fused,32768,128
cache_mutation,16544,129.25,541350.0509262085,32.72183576681628,3.5835770975493877,0,4057821184,fused,32768,128
centroid_update,32,0.25,5425.152003765106,169.53600011765957,0.03591290042026222,4096,0,fused,32768,128
decode_decoder_model_forward,128,1.0,18988462.127685547,148347.36037254333,125.69799870164469,0,0,fused,32768,128
decode_lm_head,128,1.0,152659.97076034546,1192.656021565199,1.010563819091437,0,0,fused,32768,128
importance_update,4096,32.0,571713.5309427977,139.57849876533146,3.784574347670972,134481920,0,fused,32768,128
mixed_v_fused_attention,4096,32.0,5017942.0174360275,1225.0835003505927,33.217290844894876,0,0,fused,32768,128
output_projection,4096,32.0,399797.25766927004,97.60675236066163,2.6465395058066403,0,0,fused,32768,128
pack_k,32,0.25,10523.647904396057,328.8639970123768,0.06966343412796296,4096,0,fused,32768,128
pack_total,32,0.25,36240.384221076965,1132.5120069086552,0.2399006163920067,4096,0,fused,32768,128
pack_v2,32,0.25,9895.936071872711,309.2480022460222,0.06550816759932261,3072,0,fused,32768,128
pack_v4,32,0.25,9519.103944301605,297.47199825942516,0.06301365045708872,1024,0,fused,32768,128
pack_window,32,0.25,269267.9681777954,8414.624005556107,1.7824742460348202,4096,0,fused,32768,128
pattern_assignment,32,0.25,16535.551965236664,516.7359989136457,0.10946045948749182,4096,0,fused,32768,128
qk_fp16_regions,12256,95.75,657907.8086963855,53.68046741974425,4.355154952898756,849920,0,fused,32768,128
qk_quantized_history,4096,32.0,1438546.9591021538,351.20775368704926,9.522755059443954,0,0,fused,32768,128
rope_position,4096,32.0,1018573.825314641,248.67525032095728,6.742657225792649,0,0,fused,32768,128
selector_gain,32,0.25,43208.704113960266,1350.2720035612583,0.28602883146063013,4096,0,fused,32768,128
selector_score,32,0.25,2473.9840403199196,77.31200125999749,0.01637704204779257,4096,0,fused,32768,128
selector_topk,32,0.25,114380.8000087738,3574.4000002741814,0.7571670393482444,4096,0,fused,32768,128
selector_total,32,0.25,165946.36869430542,5185.824021697044,1.0985158406412725,4096,0,fused,32768,128
value_fp16_tail,12256,95.75,1191532.5435698032,97.22034461241867,7.887592744871751,849920,0,fused,32768,128
