task,layer,kv_head,v100_fnr,gpu4090_fnr,v100_fpr,gpu4090_fpr,v100_accepted_fraction,gpu4090_accepted_fraction,v100_fn_count,gpu4090_fn_count,v100_fp_count,gpu4090_fp_count,v100_positive_support,gpu4090_positive_support,v100_negative_support,gpu4090_negative_support,fnr_abs_diff,fpr_abs_diff,accepted_fraction_abs_diff,fn_count_abs_diff,cross_hardware_consistent,support_label,fnr_stability_label,label,readiness,high_fnr_rank,low_risk_rank,rank_score
passage_retrieval_zh,27,1,0.5263157894736842,0.39344262295081966,0.0,0.0,0.28125,0.3854166666666667,30,24,0,0,57,61,39,35,0.13287316652286452,0.0,0.10416666666666669,6,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,68,13,"(1, -1, 0.39344262295081966, 54)"
dureader,30,7,0.453125,0.390625,0.03125,0.0,0.375,0.40625,29,25,1,0,64,64,32,32,0.0625,0.03125,0.03125,4,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,69,1040,"(1, -1, 0.390625, 54)"
passage_retrieval_en,16,2,0.3888888888888889,0.4675324675324675,0.0,0.0,0.4583333333333333,0.4270833333333333,28,36,0,0,72,77,24,19,0.07864357864357863,0.0,0.03125,8,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,70,84,"(1, -1, 0.3888888888888889, 64)"
passage_retrieval_zh,6,1,0.38666666666666666,0.4375,0.0,0.03125,0.4791666666666667,0.3854166666666667,29,28,0,1,75,64,21,32,0.05083333333333334,0.03125,0.09375,1,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,71,1042,"(1, -1, 0.38666666666666666, 57)"
dureader,25,3,0.38461538461538464,0.4090909090909091,0.0,0.0,0.4166666666666667,0.40625,25,27,0,0,65,66,31,30,0.02447552447552448,0.0,0.010416666666666685,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,72,61,"(1, -1, 0.38461538461538464, 52)"
passage_retrieval_en,8,6,0.38571428571428573,0.38461538461538464,0.0,0.0,0.4479166666666667,0.4166666666666667,27,25,0,0,70,65,26,31,0.001098901098901095,0.0,0.03125,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,73,76,"(1, -1, 0.38461538461538464, 52)"
passage_retrieval_zh,30,0,0.3835616438356164,0.4444444444444444,0.0,0.0,0.46875,0.4166666666666667,28,32,0,0,73,72,23,24,0.060882800608828,0.0,0.052083333333333315,4,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,74,87,"(1, -1, 0.3835616438356164, 60)"
passage_retrieval_zh,9,1,0.4507042253521127,0.3835616438356164,0.0,0.0,0.40625,0.46875,32,28,0,0,71,73,25,23,0.06714258151649627,0.0,0.0625,4,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,75,78,"(1, -1, 0.3835616438356164, 60)"
passage_retrieval_zh,21,6,0.4166666666666667,0.38333333333333336,0.0,0.0,0.3645833333333333,0.3854166666666667,25,23,0,0,60,60,36,36,0.033333333333333326,0.0,0.02083333333333337,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,76,32,"(1, -1, 0.38333333333333336, 48)"
hotpotqa,23,5,0.42424242424242425,0.38235294117647056,0.0,0.0,0.3958333333333333,0.4375,28,26,0,0,66,68,30,28,0.04188948306595369,0.0,0.041666666666666685,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,77,63,"(1, -1, 0.38235294117647056, 54)"
passage_retrieval_en,23,3,0.3770491803278688,0.4057971014492754,0.02857142857142857,0.0,0.40625,0.4270833333333333,23,28,1,0,61,69,35,27,0.02874792112140656,0.02857142857142857,0.020833333333333315,5,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,78,1036,"(1, -1, 0.3770491803278688, 51)"
hotpotqa,3,5,0.37681159420289856,0.43478260869565216,0.037037037037037035,0.0,0.4583333333333333,0.40625,26,30,1,0,69,69,27,27,0.0579710144927536,0.037037037037037035,0.052083333333333315,4,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,79,1058,"(1, -1, 0.37681159420289856, 56)"
passage_retrieval_en,28,0,0.37681159420289856,0.3888888888888889,0.0,0.0,0.4479166666666667,0.4583333333333333,26,28,0,0,69,72,27,24,0.012077294685990336,0.0,0.01041666666666663,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,80,95,"(1, -1, 0.37681159420289856, 54)"
dureader,22,7,0.53125,0.375,0.0,0.0,0.3125,0.4166666666666667,34,24,0,0,64,64,32,32,0.15625,0.0,0.10416666666666669,10,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,81,28,"(1, -1, 0.375, 58)"
passage_retrieval_zh,3,5,0.375,0.4142857142857143,0.0,0.0,0.46875,0.4270833333333333,27,29,0,0,72,70,24,26,0.03928571428571431,0.0,0.041666666666666685,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,82,91,"(1, -1, 0.375, 56)"
dureader,6,1,0.375,0.3770491803278688,0.0,0.0,0.4166666666666667,0.3958333333333333,24,23,0,0,64,61,32,35,0.002049180327868827,0.0,0.02083333333333337,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,83,53,"(1, -1, 0.375, 47)"
passage_retrieval_zh,4,5,0.4461538461538462,0.3728813559322034,0.0,0.0,0.375,0.3854166666666667,29,22,0,0,65,59,31,37,0.07327249022164278,0.0,0.010416666666666685,7,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,84,37,"(1, -1, 0.3728813559322034, 51)"
dureader,21,6,0.4264705882352941,0.36923076923076925,0.0,0.0,0.40625,0.4270833333333333,29,24,0,0,68,65,28,31,0.05723981900452485,0.0,0.020833333333333315,5,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,85,64,"(1, -1, 0.36923076923076925, 53)"
