hardware,task,layer,kv_head,true_positive,true_negative,false_positive,false_negative,total,candidate_count,accepted_count,positive_support,negative_support,micro_fpr,micro_fnr,precision_micro,recall_micro,acceptance_micro
v100,dureader,16,0,55,26,0,15,96,96,55,70,26,0.0,0.21428571428571427,1.0,0.7857142857142857,0.5729166666666666
v100,dureader,16,1,81,14,0,1,96,96,81,82,14,0.0,0.012195121951219513,1.0,0.9878048780487805,0.84375
v100,dureader,16,2,39,25,0,32,96,96,39,71,25,0.0,0.4507042253521127,1.0,0.5492957746478874,0.40625
v100,dureader,16,3,73,17,0,6,96,96,73,79,17,0.0,0.0759493670886076,1.0,0.9240506329113924,0.7604166666666666
v100,dureader,16,4,68,15,0,13,96,96,68,81,15,0.0,0.16049382716049382,1.0,0.8395061728395061,0.7083333333333334
v100,dureader,16,5,62,21,0,13,96,96,62,75,21,0.0,0.17333333333333334,1.0,0.8266666666666667,0.6458333333333334
v100,dureader,16,6,57,23,0,16,96,96,57,73,23,0.0,0.2191780821917808,1.0,0.7808219178082192,0.59375
v100,dureader,16,7,80,13,0,3,96,96,80,83,13,0.0,0.03614457831325301,1.0,0.963855421686747,0.8333333333333334
v100,dureader,17,0,67,19,0,10,96,96,67,77,19,0.0,0.12987012987012986,1.0,0.8701298701298701,0.6979166666666666
v100,dureader,17,1,60,17,0,19,96,96,60,79,17,0.0,0.24050632911392406,1.0,0.759493670886076,0.625
v100,dureader,17,2,76,14,0,6,96,96,76,82,14,0.0,0.07317073170731707,1.0,0.926829268292683,0.7916666666666666
v100,dureader,17,3,81,14,0,1,96,96,81,82,14,0.0,0.012195121951219513,1.0,0.9878048780487805,0.84375
v100,dureader,17,4,62,22,0,12,96,96,62,74,22,0.0,0.16216216216216217,1.0,0.8378378378378378,0.6458333333333334
v100,dureader,17,5,45,26,0,25,96,96,45,70,26,0.0,0.35714285714285715,1.0,0.6428571428571429,0.46875
v100,dureader,17,6,42,29,0,25,96,96,42,67,29,0.0,0.373134328358209,1.0,0.6268656716417911,0.4375
v100,dureader,17,7,52,26,0,18,96,96,52,70,26,0.0,0.2571428571428571,1.0,0.7428571428571429,0.5416666666666666
