task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,min,max,std
dureader,prefill,v,20,1,bucketlast,relative_candidate_benefit,30,0.35885380158785884,-0.397126477087892,0.8826954723525956,0.2911531796833122
dureader,prefill,v,20,1,bucketmiddle,relative_candidate_benefit,38,0.2633110387745679,-0.5042414141317604,0.7418051682654121,0.2617034880087653
dureader,prefill,v,20,2,bucketfirst,relative_candidate_benefit,30,-8.602714127138428,-52.55348962473003,0.7666427801607213,12.577552477439857
dureader,prefill,v,20,2,bucketlast,relative_candidate_benefit,36,0.4008800792635863,-0.10219647545678999,0.7904635643848272,0.23475280915883112
dureader,prefill,v,20,2,bucketmiddle,relative_candidate_benefit,30,0.37403647475649926,-0.47321144594538445,0.8050067826043609,0.32102585780432735
dureader,prefill,v,20,3,bucketfirst,relative_candidate_benefit,31,-4.294609772219423,-30.44573408890907,0.6194947626745633,6.861504192708116
dureader,prefill,v,20,3,bucketlast,relative_candidate_benefit,36,0.29618345234534804,-0.17162790617209348,0.6522962674817481,0.20760438731446496
dureader,prefill,v,20,3,bucketmiddle,relative_candidate_benefit,29,0.270846580925482,0.024636444933507508,0.6196787896844558,0.15885698645146457
dureader,prefill,v,20,4,bucketfirst,relative_candidate_benefit,36,-65.42024824394149,-351.53016000782503,0.8479640597672811,99.49898885394597
dureader,prefill,v,20,4,bucketlast,relative_candidate_benefit,29,0.677655796458285,0.27472383323189764,0.8051222786118065,0.10169211371290438
dureader,prefill,v,20,4,bucketmiddle,relative_candidate_benefit,31,0.6780185525133701,0.1801788620547031,0.8494292845367937,0.14473059725916246
dureader,prefill,v,20,5,bucketfirst,relative_candidate_benefit,34,-10.052721093190796,-54.13389807265999,0.9271046101457178,15.996328650952064
dureader,prefill,v,20,5,bucketlast,relative_candidate_benefit,30,0.27731285812709033,-0.1726528732886377,0.854587756383189,0.24668418561285504
dureader,prefill,v,20,5,bucketmiddle,relative_candidate_benefit,32,0.33110030255703515,-0.27782909135666173,0.7424621696323563,0.2580524926937802
dureader,prefill,v,20,6,bucketfirst,relative_candidate_benefit,38,-1.9979739239511132,-20.38792343498484,0.7152815898897286,4.196831687934513
dureader,prefill,v,20,6,bucketlast,relative_candidate_benefit,33,0.3397509852174902,-0.3710128346870768,0.7249265530414378,0.22845504920424395
dureader,prefill,v,20,6,bucketmiddle,relative_candidate_benefit,25,0.38232760789762305,-0.020511140777393827,0.6294110609067719,0.17263673971098667
dureader,prefill,v,20,7,bucketfirst,relative_candidate_benefit,29,-1.2847617843545136,-16.62098810893633,0.7840397751274611,3.3055220446294387
dureader,prefill,v,20,7,bucketlast,relative_candidate_benefit,30,0.2771573770831368,-0.03170709226975596,0.6340976793874448,0.18541942118225382
dureader,prefill,v,20,7,bucketmiddle,relative_candidate_benefit,37,0.29263581286916795,-0.46611108307099375,0.6706477262751109,0.22615692053332548
dureader,prefill,v,21,0,bucketfirst,relative_candidate_benefit,35,-2.888827011248107,-24.224899804942766,0.6802611741307648,5.709148358295907
dureader,prefill,v,21,0,bucketlast,relative_candidate_benefit,35,0.2786625429264258,-0.24483759020053097,0.7680855371837461,0.2530789183085797
dureader,prefill,v,21,0,bucketmiddle,relative_candidate_benefit,26,0.32706082755591875,-0.07922341802740693,0.7629660480439617,0.18427366868684608
dureader,prefill,v,21,1,bucketfirst,relative_candidate_benefit,32,-3.313421556353373,-18.111698863567643,0.9400274411096635,5.6966627143253765
