context_tokens,decode_tokens,capacity_backend,round,seed,backend,prefill_ms,cache_setup_ms,decode_total_ms,mean_tpot_ms,median_tpot_ms,p90_tpot_ms,p95_tpot_ms,tokens_per_sec,peak_allocated_bytes,peak_reserved_bytes,mixed_v_fused_calls,mixed_v_reference_calls,selector_calls,importance_update_calls,pack_calls,cache_concat_events,cache_concat_bytes,largest_cache_concat_bytes,profile_enabled
16384,128,baseline,2,36805199,fused,55.704541970044374,55.704541970044374,14395.448303222656,112.464439868927,109.1563491821289,114.47090911865234,117.24697875976562,8.891699466653296,16989702144,16999514112,4096,0,0,0,0,0,0,0,False
16384,128,baseline,3,36805200,fused,56.23070592992008,56.23070592992008,14296.854537963867,111.69417607784271,108.72525024414062,113.41516876220703,114.49343872070312,8.953018278258956,16989702144,16999514112,4096,0,0,0,0,0,0,0,False
16384,128,baseline,4,36805201,fused,55.38306012749672,55.38306012749672,14126.21516418457,110.36105597019196,107.99360275268555,109.81785583496094,112.9728012084961,9.061167376561672,16989702144,16999514112,4096,0,0,0,0,0,0,0,False
16384,128,fixed_capacity,0,36805197,fused,82.57756801322103,82.57756801322103,12835.729446411133,100.27913630008698,98.17906951904297,99.16006469726562,100.20966339111328,9.972164070175909,17536476672,17601396736,4096,0,0,0,0,0,0,0,False
16384,128,fixed_capacity,1,36805198,fused,81.88108215108514,81.88108215108514,12830.486549377441,100.23817616701126,98.18111801147461,98.90201568603516,100.04275512695312,9.976238976394141,17536476672,17601396736,4096,0,0,0,0,0,0,0,False
16384,128,fixed_capacity,2,36805199,fused,82.2163438424468,82.2163438424468,12911.446014404297,100.87067198753357,98.40230560302734,101.4681625366211,102.69798278808594,9.913684327626846,17536476672,17601396736,4096,0,0,0,0,0,0,0,False
16384,128,fixed_capacity,3,36805200,fused,82.34835509210825,82.34835509210825,12840.899574279785,100.31952792406082,98.34905624389648,98.91737365722656,99.59219360351562,9.968148980495334,17536476672,17601396736,4096,0,0,0,0,0,0,0,False
16384,128,fixed_capacity,4,36805201,fused,81.79823588579893,81.79823588579893,12831.359016418457,100.2449923157692,98.19801712036133,99.04640197753906,100.1185302734375,9.975560642969828,17536476672,17601396736,4096,0,0,0,0,0,0,0,False
16384,128,chunked_capacity,0,36805197,fused,74.10834589973092,74.10834589973092,12966.29859161377,101.29920774698257,99.15494155883789,100.08985900878906,101.607421875,9.871745517474565,16732972544,16785604608,4096,0,0,0,0,0,0,0,False
16384,128,chunked_capacity,1,36805198,fused,74.80027317069471,74.80027317069471,12951.911407470703,101.18680787086487,99.13497543334961,99.97618865966797,101.17324829101562,9.882711205557598,16732972544,16785604608,4096,0,0,0,0,0,0,0,False
16384,128,chunked_capacity,2,36805199,fused,73.19363695569336,73.19363695569336,12990.287879943848,101.48662406206131,99.40224075317383,100.59673309326172,101.8419189453125,9.8535152710221,16732972544,16785604608,4096,0,0,0,0,0,0,0,False
16384,128,chunked_capacity,3,36805200,fused,74.34546388685703,74.34546388685703,13071.753227233887,102.12307208776474,99.47135925292969,103.34515380859375,104.0363540649414,9.792106519676556,16732972544,16785604608,4096,0,0,0,0,0,0,0,False
16384,128,chunked_capacity,4,36805201,fused,77.05273292958736,77.05273292958736,13458.57738494873,105.14513581991196,103.05331039428711,103.53561401367188,103.91449737548828,9.510663448214634,16732972544,16785604608,4096,0,0,0,0,0,0,0,False
