component,calls,calls_per_generated_token,total_us,mean_us,percent_decode_time,tokens,bytes,context_tokens,decode_tokens,backend,profile_on_tpot_ms,profile_on_shares_approximate
decode_lm_head,128,1.0,152804.35585975647,1193.7840301543474,0.8487330893342281,0,0,16384,128,chunked_capacity,140.65482366085052,True
importance_update,4096,32.0,589961.2154364586,144.03349986241665,3.276867352029683,67373056,0,16384,128,chunked_capacity,140.65482366085052,True
mixed_v_fused_attention,4096,32.0,3289268.222153187,803.0439995491179,18.26983768970045,0,0,16384,128,chunked_capacity,140.65482366085052,True
mixed_v_kernel_launches,8192,64.0,0.0,0.0,0.0,0,0,16384,128,chunked_capacity,140.65482366085052,True
mixed_v_layout_prepare_v2,4096,32.0,380068.89586895704,92.79025778050709,2.1110461566080585,49892352,0,16384,128,chunked_capacity,140.65482366085052,True
mixed_v_layout_prepare_v4,4096,32.0,300805.1260635257,73.43875148035295,1.6707852501651517,16630784,0,16384,128,chunked_capacity,140.65482366085052,True
mixed_v_mapping_prepare,4096,32.0,545845.8240777254,133.26314064397593,3.031833811039199,66523136,0,16384,128,chunked_capacity,140.65482366085052,True
mixed_v_output_reduce,4096,32.0,20064.255923964083,4.898499981436544,0.11144445339744101,0,0,16384,128,chunked_capacity,140.65482366085052,True
mixed_v_v2_compute,4096,32.0,942347.2625017166,230.06524963420816,5.234152513707075,49892352,0,16384,128,chunked_capacity,140.65482366085052,True
mixed_v_v4_compute,4096,32.0,426874.8718723655,104.21749801571423,2.371024220643987,16630784,0,16384,128,chunked_capacity,140.65482366085052,True
output_projection,4096,32.0,401116.168692708,97.92875212224317,2.2279506570410015,0,0,16384,128,chunked_capacity,140.65482366085052,True
pack_k,32,0.25,10700.800031423569,334.4000009819865,0.05943628385406424,4096,0,16384,128,chunked_capacity,140.65482366085052,True
pack_total,32,0.25,45127.68042087555,1410.240013152361,0.25065617666848694,4096,0,16384,128,chunked_capacity,140.65482366085052,True
pack_v2,32,0.25,9928.704023361206,310.2720007300377,0.055147771092118957,3072,0,16384,128,chunked_capacity,140.65482366085052,True
pack_v4,32,0.25,9374.719947576523,292.95999836176634,0.052070734358203884,1024,0,16384,128,chunked_capacity,140.65482366085052,True
pack_window,32,0.25,270066.6904449463,8439.584076404572,1.500052372315764,4096,0,16384,128,chunked_capacity,140.65482366085052,True
pattern_assignment,32,0.25,16252.928167581558,507.9040052369237,0.09027489993190548,4096,0,16384,128,chunked_capacity,140.65482366085052,True
qk_fp16_regions,12256,95.75,956864.4855981693,78.07314667086891,5.314786652294818,849920,0,16384,128,chunked_capacity,140.65482366085052,True
qk_quantized_history,4096,32.0,988177.4169653654,241.25425218880991,5.488710496453964,0,0,16384,128,chunked_capacity,140.65482366085052,True
rope_position,4096,32.0,869538.8164930046,212.28975012036244,4.829746913075416,0,0,16384,128,chunked_capacity,140.65482366085052,True
selector_gain,32,0.25,38911.99994087219,1215.999998152256,0.2161319403244032,4096,0,16384,128,chunked_capacity,140.65482366085052,True
selector_score,32,0.25,2373.632065951824,74.1760020609945,0.013184048746143437,4096,0,16384,128,chunked_capacity,140.65482366085052,True
selector_topk,32,0.25,111877.12025642395,3496.1600080132484,0.6214077692143807,4096,0,16384,128,chunked_capacity,140.65482366085052,True
selector_total,32,0.25,158913.53511810303,4966.04797244072,0.8826657776797874,4096,0,16384,128,chunked_capacity,140.65482366085052,True
