task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,std
passage_retrieval_zh,decode,v,22,5,bucketfirst,candidate_gate_accepted_fraction,1,0.09375,0.0
passage_retrieval_zh,decode,v,22,6,bucketfirst,candidate_gate_accepted_fraction,1,0.078125,0.0
passage_retrieval_zh,decode,v,22,7,bucketfirst,candidate_gate_accepted_fraction,1,0.0546875,0.0
passage_retrieval_zh,decode,v,23,0,bucketfirst,candidate_gate_accepted_fraction,1,0.125,0.0
passage_retrieval_zh,decode,v,23,1,bucketfirst,candidate_gate_accepted_fraction,1,0.03125,0.0
passage_retrieval_zh,decode,v,23,2,bucketfirst,candidate_gate_accepted_fraction,1,0.0546875,0.0
passage_retrieval_zh,decode,v,23,3,bucketfirst,candidate_gate_accepted_fraction,1,0.0546875,0.0
passage_retrieval_zh,decode,v,23,4,bucketfirst,candidate_gate_accepted_fraction,1,0.0625,0.0
passage_retrieval_zh,decode,v,23,5,bucketfirst,candidate_gate_accepted_fraction,1,0.0703125,0.0
passage_retrieval_zh,decode,v,23,6,bucketfirst,candidate_gate_accepted_fraction,1,0.046875,0.0
passage_retrieval_zh,decode,v,23,7,bucketfirst,candidate_gate_accepted_fraction,1,0.125,0.0
passage_retrieval_zh,decode,v,24,0,bucketfirst,candidate_gate_accepted_fraction,1,0.1015625,0.0
passage_retrieval_zh,decode,v,24,1,bucketfirst,candidate_gate_accepted_fraction,1,0.1328125,0.0
passage_retrieval_zh,decode,v,24,2,bucketfirst,candidate_gate_accepted_fraction,1,0.0546875,0.0
passage_retrieval_zh,decode,v,24,3,bucketfirst,candidate_gate_accepted_fraction,1,0.09375,0.0
passage_retrieval_zh,decode,v,24,4,bucketfirst,candidate_gate_accepted_fraction,1,0.0390625,0.0
passage_retrieval_zh,decode,v,24,5,bucketfirst,candidate_gate_accepted_fraction,1,0.078125,0.0
passage_retrieval_zh,decode,v,24,6,bucketfirst,candidate_gate_accepted_fraction,1,0.1015625,0.0
passage_retrieval_zh,decode,v,24,7,bucketfirst,candidate_gate_accepted_fraction,1,0.0625,0.0
