comparable,component,cosine,difference_rate,exact,first_non_exact,layer,max_abs,mean_abs,relative_l2,shape_equal
True,ATTENTION_VALUE_OUTPUT,0.9999938607215881,0.9399533271789551,False,False,10,0.03564453125,0.00027509068604558706,0.009627873077988625,True
True,ATTENTION_RESIDUAL_OUTPUT,1.0009205341339111,0.9289021492004395,False,False,10,0.5,0.0004688534536398947,0.002229641890153289,True
True,POST_ATTENTION_RMSNORM,1.0000168085098267,0.9246292114257812,False,False,10,0.058349609375,0.0012236401671543717,0.00838882103562355,True
True,MLP_OUTPUT,0.9999834895133972,0.9482479095458984,False,False,10,0.06494140625,0.0003492308023851365,0.011354961432516575,True
True,LAYER_OUTPUT,1.0009325742721558,0.929710865020752,False,False,10,0.5,0.0005116849788464606,0.002433539368212223,True
True,LAYER_INPUT,1.0009325742721558,0.929710865020752,False,False,11,0.5,0.0005116849788464606,0.002433539368212223,True
True,INPUT_RMSNORM,1.0000559091567993,0.9249734878540039,False,False,11,0.31549072265625,0.0018382766284048557,0.007840422913432121,True
True,Q_PROJ,1.0000697374343872,0.9033985137939453,False,False,11,0.2481689453125,0.002964974381029606,0.006024050060659647,True
True,K_PROJ,0.9999815821647644,0.8913192749023438,False,False,11,0.41015625,0.005127873737365007,0.005791909992694855,True
True,V_PROJ,0.9999416470527649,0.9409656524658203,False,False,11,0.1075439453125,0.001405139802955091,0.010187661275267601,True
True,K_POST_ROPE,0.999981164932251,0.8855209350585938,False,False,11,0.41015625,0.005145336966961622,0.005794452968984842,True
