label,context_tokens,bit,mode,round,median_us,mean_us,p90_us,round_cv,stability
post_histogram,32768,2,NO_TABLE_CONTRIBUTION,4,295.9359884262085,296.2739162147045,296.9599962234497,,
post_histogram,32768,2,LANE0_TABLE_FULL,0,307.20001459121704,307.3945680260658,308.22399258613586,,
post_histogram,32768,2,LANE0_TABLE_FULL,1,307.20001459121704,307.4048076570034,308.22399258613586,,
post_histogram,32768,2,LANE0_TABLE_FULL,2,307.20001459121704,307.27168694138527,308.22399258613586,,
post_histogram,32768,2,LANE0_TABLE_FULL,3,307.20001459121704,307.32800856232643,308.22399258613586,,
post_histogram,32768,2,LANE0_TABLE_FULL,4,307.20001459121704,307.2153690457344,308.22399258613586,,
post_histogram,32768,4,FULL,0,164.86400365829468,165.14048017561436,165.8879965543747,,
post_histogram,32768,4,FULL,1,164.86400365829468,165.1456005126238,165.8879965543747,,
post_histogram,32768,4,FULL,2,164.86400365829468,165.0432001799345,165.8879965543747,,
post_histogram,32768,4,FULL,3,164.86400365829468,165.11488027870655,165.8879965543747,,
post_histogram,32768,4,FULL,4,164.86400365829468,165.0892797857523,165.8879965543747,,
post_histogram,32768,4,RESIDUAL_ONLY,0,95.23200243711472,94.6636813133955,100.35199671983719,,
post_histogram,32768,4,RESIDUAL_ONLY,1,92.16000139713287,94.20800097286701,99.32799637317657,,
post_histogram,32768,4,RESIDUAL_ONLY,2,97.28000313043594,96.52224086225033,101.3759970664978,,
post_histogram,32768,4,RESIDUAL_ONLY,3,96.76800295710564,96.73216104507446,102.39999741315842,,
post_histogram,32768,4,RESIDUAL_ONLY,4,91.13600105047226,93.25056102126837,98.30400347709656,,
post_histogram,32768,4,NO_TABLE_CONTRIBUTION,0,104.44799810647964,104.47871804237366,105.47199845314026,,
post_histogram,32768,4,NO_TABLE_CONTRIBUTION,1,104.44799810647964,104.61183805018663,105.47199845314026,,
post_histogram,32768,4,NO_TABLE_CONTRIBUTION,2,104.44799810647964,104.60671801120043,105.47199845314026,,
post_histogram,32768,4,NO_TABLE_CONTRIBUTION,3,104.44799810647964,104.65279806405306,105.47199845314026,,
post_histogram,32768,4,NO_TABLE_CONTRIBUTION,4,104.44799810647964,104.73471809178591,105.47199845314026,,
post_histogram,32768,4,LANE0_TABLE_FULL,0,110.59200018644333,110.47424007207155,110.59200018644333,,
post_histogram,32768,4,LANE0_TABLE_FULL,1,110.59200018644333,110.5561600998044,111.61600053310394,,
post_histogram,32768,4,LANE0_TABLE_FULL,2,110.59200018644333,110.55104002356529,111.61600053310394,,
post_histogram,32768,4,LANE0_TABLE_FULL,3,110.59200018644333,110.58176007121801,111.61600053310394,,
