task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,std,min,max
dureader,decode,k,7,3,bucketfirst,relative_range_gain,11,0.11764390340032675,0.04685632004339611,,
dureader,decode,k,7,4,bucketfirst,relative_mse_gain,11,-0.007180426905295712,0.015524437141957713,,
dureader,decode,k,7,4,bucketfirst,relative_range_gain,11,0.04697131440145264,0.04097793129694935,,
dureader,decode,k,7,5,bucketfirst,relative_mse_gain,11,0.014749720425692276,0.03793018770146108,,
dureader,decode,k,7,5,bucketfirst,relative_range_gain,11,0.04467395648652969,0.04703861749890103,,
dureader,decode,k,7,6,bucketfirst,relative_mse_gain,11,0.023419902584571384,0.017242181087245283,,
dureader,decode,k,7,6,bucketfirst,relative_range_gain,11,0.0721220904100985,0.056155224689162626,,
dureader,decode,k,7,7,bucketfirst,relative_mse_gain,11,-0.004307856513626894,0.011728304010974055,,
dureader,decode,k,7,7,bucketfirst,relative_range_gain,11,0.053599360840163944,0.0344132208789716,,
dureader,decode,k,8,0,bucketfirst,relative_mse_gain,11,0.03723251195541267,0.018323591395898443,,
dureader,decode,k,8,0,bucketfirst,relative_range_gain,11,0.045086763443081795,0.06289452887938732,,
dureader,decode,k,8,1,bucketfirst,relative_mse_gain,11,0.03665774548059208,0.027345674495946097,,
dureader,decode,k,8,1,bucketfirst,relative_range_gain,11,0.06167056481182498,0.047085010076134824,,
dureader,decode,k,8,2,bucketfirst,relative_mse_gain,11,-0.002390441109413871,0.015262353169036227,,
dureader,decode,k,8,2,bucketfirst,relative_range_gain,11,0.034176092174665815,0.028609272799657463,,
dureader,decode,k,8,3,bucketfirst,relative_mse_gain,11,0.005469136252540191,0.014350542280528249,,
dureader,decode,k,8,3,bucketfirst,relative_range_gain,11,0.05582720633899671,0.0394742124402046,,
dureader,decode,k,8,4,bucketfirst,relative_mse_gain,11,0.012650676957368047,0.0316154046162355,,
dureader,decode,k,8,4,bucketfirst,relative_range_gain,11,0.11698275453541536,0.05361351677336119,,
dureader,decode,k,8,5,bucketfirst,relative_mse_gain,11,0.008443018875292845,0.01976604749814106,,
dureader,decode,k,8,5,bucketfirst,relative_range_gain,11,0.08619789017197017,0.04532910936811969,,
dureader,decode,k,8,6,bucketfirst,relative_mse_gain,11,0.03221626988580759,0.024341876871938124,,
dureader,decode,k,8,6,bucketfirst,relative_range_gain,11,0.17731984720222974,0.06118170916668365,,
dureader,decode,k,8,7,bucketfirst,relative_mse_gain,11,-0.00915241918838926,0.02190180259871825,,
dureader,decode,k,8,7,bucketfirst,relative_range_gain,11,0.05145954930781658,0.04691810348916752,,
dureader,decode,k,9,0,bucketfirst,relative_mse_gain,11,-0.004395165764087567,0.026217976147246615,,
dureader,decode,k,9,0,bucketfirst,relative_range_gain,11,0.037629454526276626,0.05049386479267775,,
dureader,decode,k,9,1,bucketfirst,relative_mse_gain,11,-0.011212134325693873,0.019466031627843113,,
dureader,decode,k,9,1,bucketfirst,relative_range_gain,11,0.05496169179070609,0.02633973050395447,,
dureader,decode,k,9,2,bucketfirst,relative_mse_gain,11,-0.025616565543687565,0.008759619667080368,,
dureader,decode,k,9,2,bucketfirst,relative_range_gain,11,0.029706646714222584,0.026183155560087847,,
dureader,decode,k,9,3,bucketfirst,relative_mse_gain,11,-0.013994654670937256,0.025540632069452614,,
dureader,decode,k,9,3,bucketfirst,relative_range_gain,11,0.014255978149316615,0.07210100046631013,,
dureader,decode,k,9,4,bucketfirst,relative_mse_gain,11,0.008153103159119199,0.018019361626722467,,
dureader,decode,k,9,4,bucketfirst,relative_range_gain,11,0.029332923367897112,0.053132885957410544,,
dureader,decode,k,9,5,bucketfirst,relative_mse_gain,11,-0.02700230530255471,0.017997681213917562,,
dureader,decode,k,9,5,bucketfirst,relative_range_gain,11,0.07302659812663369,0.06939770676791415,,
dureader,decode,k,9,6,bucketfirst,relative_mse_gain,11,0.008190039666627883,0.04221044311353619,,
dureader,decode,k,9,6,bucketfirst,relative_range_gain,11,0.057046840239411485,0.09444457222734608,,
dureader,decode,k,9,7,bucketfirst,relative_mse_gain,11,-2.7171237472662666e-05,0.022058601236778892,,
dureader,decode,k,9,7,bucketfirst,relative_range_gain,11,0.017314259453168647,0.043996519019191035,,
dureader,decode,k,10,0,bucketfirst,relative_mse_gain,11,-0.016765171595250625,0.012476520756383462,,
dureader,decode,k,10,0,bucketfirst,relative_range_gain,11,0.017295121729446684,0.02578554406765504,,
dureader,decode,k,10,1,bucketfirst,relative_mse_gain,11,-0.019467418563193825,0.01826908705229827,,
dureader,decode,k,10,1,bucketfirst,relative_range_gain,11,0.026004149912615813,0.024942629329789814,,
dureader,decode,k,10,2,bucketfirst,relative_mse_gain,11,-0.014430680938782588,0.016106587017946653,,
dureader,decode,k,10,2,bucketfirst,relative_range_gain,11,0.04332266353134899,0.04426612821655459,,
dureader,decode,k,10,3,bucketfirst,relative_mse_gain,11,0.003241356494409467,0.023671527103423,,
dureader,decode,k,10,3,bucketfirst,relative_range_gain,11,0.06278905346031392,0.06788199595793293,,
dureader,decode,k,10,4,bucketfirst,relative_mse_gain,11,-0.015233016163064635,0.012163580736705377,,
dureader,decode,k,10,4,bucketfirst,relative_range_gain,11,-0.008937172739788736,0.01227411963958807,,
dureader,decode,k,10,5,bucketfirst,relative_mse_gain,11,-0.0057274139881619305,0.025721813741182736,,
dureader,decode,k,10,5,bucketfirst,relative_range_gain,11,0.0755192331189113,0.061004864919509655,,
dureader,decode,k,10,6,bucketfirst,relative_mse_gain,11,-0.010887603697403797,0.0159983899262997,,
dureader,decode,k,10,6,bucketfirst,relative_range_gain,11,0.04942130991989724,0.04685303266291296,,
dureader,decode,k,10,7,bucketfirst,relative_mse_gain,11,-0.01273781726696192,0.023175751982068546,,
dureader,decode,k,10,7,bucketfirst,relative_range_gain,11,0.026111719982867376,0.047978451526551204,,
dureader,decode,k,11,0,bucketfirst,relative_mse_gain,11,-0.009452641470803179,0.014659770289398761,,
dureader,decode,k,11,0,bucketfirst,relative_range_gain,11,0.0021516621976690976,0.0369363727636786,,
dureader,decode,k,11,1,bucketfirst,relative_mse_gain,11,-0.015491154372696698,0.015013406109011133,,
dureader,decode,k,11,1,bucketfirst,relative_range_gain,11,0.03178381918592679,0.04549940175740632,,
dureader,decode,k,11,2,bucketfirst,relative_mse_gain,11,-0.020984523369275417,0.018503147579118633,,
dureader,decode,k,11,2,bucketfirst,relative_range_gain,11,0.0070764897524045,0.029094223469353808,,
dureader,decode,k,11,3,bucketfirst,relative_mse_gain,11,-0.01473299643498905,0.029424805168274816,,
dureader,decode,k,11,3,bucketfirst,relative_range_gain,11,0.03268258733466411,0.03251730560462969,,
dureader,decode,k,11,4,bucketfirst,relative_mse_gain,11,0.006017857285167438,0.023555714369427203,,
dureader,decode,k,11,4,bucketfirst,relative_range_gain,11,0.0853371365704278,0.06065591138008329,,
dureader,decode,k,11,5,bucketfirst,relative_mse_gain,11,-0.011186889569449352,0.01606124497552428,,
dureader,decode,k,11,5,bucketfirst,relative_range_gain,11,0.0653184568816015,0.04278121386219933,,
dureader,decode,k,11,6,bucketfirst,relative_mse_gain,11,-0.007866685377129883,0.010985710028706375,,
dureader,decode,k,11,6,bucketfirst,relative_range_gain,11,0.05066996770357805,0.052953329632248095,,
