kv_type,metric,layer,kv_head,task_coverage,task_count,positive_task_count,negative_task_count,zero_task_count,mean_rank,std_rank,sign_consistency_rate
k,range_contraction,23,5,6,6,6,0,0,111.16666666666667,11.275588183721897,1.0
k,range_contraction,23,6,6,6,6,0,0,140.5,30.192438346932718,1.0
k,range_contraction,23,7,6,6,6,0,0,46.833333333333336,13.969212178533509,1.0
k,range_contraction,24,0,6,6,6,0,0,230.66666666666666,30.646732651658354,1.0
k,range_contraction,24,1,6,6,6,0,0,216.16666666666666,42.42018649443001,1.0
k,range_contraction,24,2,6,6,6,0,0,202.33333333333334,52.13976942368997,1.0
k,range_contraction,24,3,6,6,6,0,0,245.16666666666666,12.785625609340444,1.0
k,range_contraction,24,4,6,6,6,0,0,51.833333333333336,79.06836001559383,1.0
k,range_contraction,24,5,6,6,6,0,0,77.83333333333333,80.29822884444934,1.0
k,range_contraction,24,6,6,6,6,0,0,80.66666666666667,65.49724336862498,1.0
k,range_contraction,24,7,6,6,6,0,0,170.33333333333334,28.21740991342441,1.0
k,range_contraction,25,0,6,6,6,0,0,194.83333333333334,40.02256308078676,1.0
k,range_contraction,25,1,6,6,6,0,0,56.0,83.67397046473494,1.0
k,range_contraction,25,2,6,6,6,0,0,229.0,34.48187929913333,1.0
k,range_contraction,25,3,6,6,6,0,0,49.666666666666664,86.77493237617007,1.0
k,range_contraction,25,4,6,6,6,0,0,245.16666666666666,5.07991688470939,1.0
k,range_contraction,25,5,6,6,6,0,0,213.83333333333334,64.02451787314676,1.0
k,range_contraction,25,6,6,6,6,0,0,199.83333333333334,24.0653046706018,1.0
k,range_contraction,25,7,6,6,6,0,0,194.83333333333334,34.25111514810706,1.0
k,range_contraction,26,0,6,6,6,0,0,182.33333333333334,50.78604357717012,1.0
k,range_contraction,26,1,6,6,6,0,0,235.5,12.134661099511597,1.0
k,range_contraction,26,2,6,6,6,0,0,198.66666666666666,45.02838610871542,1.0
k,range_contraction,26,3,6,6,6,0,0,51.0,64.59876159803684,1.0
k,range_contraction,26,4,6,6,6,0,0,190.83333333333334,23.169064624096407,1.0
k,range_contraction,26,5,6,6,6,0,0,241.83333333333334,10.446955962809879,1.0
k,range_contraction,26,6,6,6,6,0,0,222.16666666666666,44.378736149446866,1.0
k,range_contraction,26,7,6,6,6,0,0,70.83333333333333,22.28165663100978,1.0
k,range_contraction,27,0,6,6,6,0,0,184.66666666666666,24.087802353519557,1.0
k,range_contraction,27,1,6,6,6,0,0,38.833333333333336,67.65209202645218,1.0
k,range_contraction,27,2,6,6,6,0,0,85.66666666666667,20.98941532190822,1.0
k,range_contraction,27,3,6,6,6,0,0,197.16666666666666,14.982397078646068,1.0
k,range_contraction,27,4,6,6,6,0,0,199.0,33.08574718314016,1.0
k,range_contraction,27,5,6,6,6,0,0,73.33333333333333,83.82852868935625,1.0
k,range_contraction,27,6,6,6,6,0,0,170.83333333333334,27.021082304172957,1.0
k,range_contraction,27,7,6,6,6,0,0,136.66666666666666,47.2111098036139,1.0
k,range_contraction,28,0,6,6,6,0,0,127.5,50.06911889245372,1.0
k,range_contraction,28,1,6,6,6,0,0,213.16666666666666,47.27020438100752,1.0
k,range_contraction,28,2,6,6,6,0,0,216.83333333333334,23.024745142756498,1.0
k,range_contraction,28,3,6,6,6,0,0,162.83333333333334,42.02942091228741,1.0
k,range_contraction,28,4,6,6,6,0,0,234.66666666666666,24.458581770458856,1.0
k,range_contraction,28,5,6,6,6,0,0,236.33333333333334,31.710495984067414,1.0
k,range_contraction,28,6,6,6,6,0,0,90.66666666666667,10.79608982713443,1.0
k,range_contraction,28,7,6,6,6,0,0,200.33333333333334,54.34969078926658,1.0
k,range_contraction,29,0,6,6,6,0,0,200.5,47.59814422152752,1.0
k,range_contraction,29,1,6,6,6,0,0,229.83333333333334,13.259168735465868,1.0
k,range_contraction,29,2,6,6,6,0,0,189.83333333333334,30.74311124282786,1.0
k,range_contraction,29,3,6,6,6,0,0,202.83333333333334,43.76610814571273,1.0
k,range_contraction,29,4,6,6,6,0,0,247.5,11.412712210513327,1.0
k,range_contraction,29,5,6,6,6,0,0,147.66666666666666,48.63355037648621,1.0
k,range_contraction,29,6,6,6,6,0,0,243.0,29.068883707497267,1.0
k,range_contraction,29,7,6,6,6,0,0,223.16666666666666,36.98836153290503,1.0
k,range_contraction,30,0,6,6,6,0,0,154.66666666666666,13.64632632697248,1.0
k,range_contraction,30,1,6,6,6,0,0,185.66666666666666,53.943385960550245,1.0
k,range_contraction,30,2,6,6,6,0,0,173.16666666666666,20.391310785615413,1.0
k,range_contraction,30,3,6,6,6,0,0,96.83333333333333,59.792465151462764,1.0
k,range_contraction,30,4,6,6,6,0,0,169.66666666666666,38.861577711439125,1.0
k,range_contraction,30,5,6,6,6,0,0,95.5,49.06033700115264,1.0
k,range_contraction,30,6,6,6,6,0,0,104.33333333333333,29.448637018073047,1.0
k,range_contraction,30,7,6,6,6,0,0,109.66666666666667,28.819360776317637,1.0
k,range_contraction,31,0,6,6,6,0,0,147.0,26.745716167890016,1.0
k,range_contraction,31,1,6,6,6,0,0,84.66666666666667,24.499433100017278,1.0
k,range_contraction,31,2,6,6,6,0,0,190.16666666666666,27.98461879120187,1.0
k,range_contraction,31,3,6,6,6,0,0,149.33333333333334,38.780006303363194,1.0
k,range_contraction,31,4,6,6,6,0,0,205.33333333333334,17.527755766846543,1.0
k,range_contraction,31,5,6,6,6,0,0,134.33333333333334,51.56118264310425,1.0
k,range_contraction,31,6,6,6,6,0,0,127.83333333333333,38.42922788133474,1.0
k,range_contraction,31,7,6,6,6,0,0,97.0,27.489391893358913,1.0
k,relative_benefit,0,0,6,6,6,0,0,48.833333333333336,91.42285758435298,1.0
k,relative_benefit,0,1,6,6,6,0,0,191.83333333333334,59.8119739034102,1.0
k,relative_benefit,0,2,6,6,6,0,0,41.666666666666664,77.53422183497784,1.0
k,relative_benefit,0,3,6,6,6,0,0,39.0,71.16647150636784,1.0
k,relative_benefit,0,4,6,6,6,0,0,26.0,12.819256348686274,1.0
k,relative_benefit,0,5,6,6,6,0,0,1.6666666666666667,0.7453559924999299,1.0
k,relative_benefit,0,6,6,6,6,0,0,163.5,97.69297142920092,1.0
k,relative_benefit,0,7,6,6,6,0,0,39.666666666666664,85.56803660765443,1.0
